# Fairservis 1992, The Harappan Civilization and its Writing, Appendix A; archive.org identifier fairservis-the-harappan-civilization-and-its-writing-1992 (leaves n158-n197; also the-harappan-civilization-and-its-writing)
# language: dra. Read from the page images of the Appendix A tables (Sign No. / Identification / Dravidian Equivalent / DED No. / Homophone / DED No. / Meaning).
# value = Dravidian equivalent as printed (alternatives separated by ' / '; 'hom:' = the homophone column). dedr = Fairservis's DED/DEDR numbers (first = equivalent, after ';' = homophone).
# gloss = his identification of the drawing, then '=>' his meaning. icit = ICIT glyph id matched by drawing against the ICIT render sheets; confidence sure/likely/unsure; unsure rows give candidates as a|b.
# page = printed page number (archive.org leaf in brackets). Fairservis cites seals by Marshall 1931 / Mackay 1937 (MD) numbers, not CISI numbers, so seal confirmation through corpus.tsv was not possible.
fcode	icit	confidence	value	gloss	dedr	page
N-5	861	likely	pāl-ūr / pari-ūr (diacritical P-3 may be unpronounced classifier); hom: paḷḷi	settlement (village or town) => (settlement)	; 3309	179 [n188]
N-6a	880	likely	tiṇ-ūr / tiṇpali-ūr (?), tiṇ (F-2)	settlement (urban) => a proper name for an urban settlement; eminence; elevation	2639, 2633	179 [n188]
N-6b	879|877	unsure	nālupali(y)ūr; hom: (see N-5, N-6a)	settlement (urban?) => settlement, town		179 [n188]
N-7	850|790	unsure	paḍu(y)il (see F-1); hom: poḍu(y)il	open area (assembly area); distinctly rounded, see N-11 => (assembly area); see P-2, the locative, which occurs regularly with this sign		179 [n188]
N-8	585|572	unsure	kālive / kālu-vār / kālu-vāy	irrigation sluice => (sluice)	1239, 4387	180 [n189]
N-9	808|832	unsure	paṭ-ā (with genitive possessive diacritical mark); hom: pata-pata	sun (see F-1) => when sign is doubled it means boat(s)	; 3175, 3391	180 [n189]
N-10	595|597	unsure	tuṟe	sign for place (?) (hatched box on pole) => (place); can be confused with G-9	2773	180 [n189]
N-11	832|828|836	unsure	pati / oṭṭu (Ka.) / oṭṭuni (Tu.); hom: poṭṭu (Ka.)	seal imprint, sealing, to seal (distinctly slender, oval shaped) => see F-1 to F-5, also N-7, N-5; sun (?)	3232, 859	180 [n189]
O-1	31|1	unsure	*oru/ōr	number 1 (as adjectival form) => first, one; also ok(k)-? 834b (see A-13, K-3)	834	180 [n189]
O-2	32|2	unsure	*iru/īr; hom: iru, īr	number 2 (as adjectival form) => prefix in proper names, second, two; as place, seat (prefixed); to pull, draw (as in ploughing)	401; 407, 461	180 [n189]
O-3	33|3	unsure	*mu(n)/mū; hom: mun	number 3 (as adjectival form) => foremost	4147; 4119a	181 [n190]
O-4	34|4	unsure	*nāl; hom: nal	number 4 (as adjectival form) => good; 3656 DEDR naḷ-day, time?	3024; 2986	181 [n190]
O-5	14	sure		number 4 (another form of O-4?, 2 over 2) =>		181 [n190]
O-6	5|35	unsure	*cayN / cay; hom: say, sey, cey (Ka.), ay	number 5 (as adjectival form) => honest; 2747 DEDR accuracy; to collect, choose, select	2318; 2265, 306	181 [n190]
O-7	15	sure		number 5 (another form of O-6?, 3 over 2) =>		181 [n190]
O-8	6|36	unsure	*caṟu/cāṟ; hom: carakku, cal/sal	number 6 (as adjectival form) => merchandise; continuous or straight furrow (when suffixed as in G-12 the first consonant may have been dropped)	2051; 1944, 2038	181 [n190]
O-9	16	sure		number 6 (another form of O-8?, 3 over 3) =>		182 [n191]
O-10	7	likely	; hom: eṟu, eṭu, ēṟu	number 7 (as adjectival form) => raise, build; to raise	772; 723, 776	182 [n191]
O-11	17	sure	(in brackets as eṟi)	number 7 (another form of O-10?, 4 over 3) => bright, light, day (see F-16, F-17)		182 [n191]
O-12	18	sure	eṭṭu/eṇ; hom: eṇ, eṇe	number 8 (as adjectival form) => count, number; pair, couple	670; 678, 387	182 [n191]
O-13	840	likely	*eṇ; hom: eṇe	number 8 (two interlocked ovals) => see O-12	670; 387	182 [n191]
O-14	19	sure	*toḷ/toṇ	number 9 (as adjectival form, 5 over 4) =>		182 [n191]
O-15	590	sure	*toḷ/toṇ; hom: toṇṭu DEDR 3526 cattle pound, tol DEDR 3528 aperture, tuṉ DEDR 3399 wall, pit, toṇṭu DEDR 3549 hollow	number 9 (the G-9 sign) => (nine) (see G-9, N-10)	; 3526, 3528, 3399, 3549	183 [n192]
O-16		unsure	*pat(tu)/pan	number 10 (as adjectival form, 5 over 5 strokes; no ICIT numeral of this shape found) => (ten) (see F-11)	3236	183 [n192]
O-17	321|322	unsure	pal / pal; hom: pala, palV and panC	harrow, number 10 (the I-17 sign) => many (see I-17)	3288; 3289	183 [n192]
O-18		unsure	ōr-okku; hom: ōru-okka	finger-nail marking (three nested arcs) => one; perhaps a special term used for metal and pottery marking	479, 783; 834a,b	183 [n192]
P-1	1	likely	*ā (also as syllabizer, see N-9)	genitive possessive affix (short stroke) => also occurs as an independent sign terminating a text or phrase (MD 1931-30, 1931-67)		183 [n192]
P-2	2	likely	*il (ir/i); hom: also as the prefix il-house DEDR 494	locative case (two short strokes) => regular pairing with F-2, N-5, E-5, N-6, N-7 but not confined to this group	; 494	183 [n192]
P-3		unsure	pāC / pāl	an affix (quarter) (V-shaped diacritic) => a sense of division, part of a place, but also share or part (see N-5, N-6, K-16)	3371	183 [n192]
P-4	480	likely	tal(V)	head, an affix; an independent sign also (caret) => head, superior, top, etc., as in talpir head chief (see F-10, I-9, E-5)	2529	184 [n193]
P-5	400	likely	kī / key	comb, the dative (a terminal sign) (drawing missing; see L-9) => "his (her) mark", i.e. "belonging to"		184 [n193]
P-6		unsure	-ār (possibly, but see Zvelebil 1977 p. 15)	4 strokes, the plural (affixed strokes) => an affixing technique to mark the plural		184 [n193]
P-7		unsure	ke(v), ki(v)	animal ear, an affix, the dative case => the dative in the sense of belonging to (?)	1645	184 [n193]
P-8		unsure	kāl/kāḷ	affix for channels, a pluralizer (paired short strokes around a sign) => a variant, kāl (1?)	1239	184 [n193]
P-9		unsure	kaṟy; hom: kaṟe, kaṟi	ornamental dots, drops (brackets a number of signs, particularly G-9, Q-1) => milk, tribute (of milk cattle), flow (as with water)	1173, 1166	184 [n193]
P-10	31	unsure	ōr (also okka? see O-1)	suffix for substantives of person-plural (long stroke) => (person plural); cf. talōr (HR 1940-328), see A-13		184 [n193]
P-11		unsure	-īr	2 strokes affix, to syllabize or designate meaning => (see Q-1)		185 [n194]
P-12		unsure	ambu; hom: am(m) (also nominative case ending)	arrow (slanted stroke as affix) => water; a calendrical affix for the kharif season attached to O-13, O-17 and with P-1 (First Month?); also A-15 as month name	151; 158, 158S	185 [n194]
P-13	13	likely	il-ā; hom: il	combination of P-2 and P-10 (two short strokes over one) => a proper name, house	; 420	185 [n194]
P-14		unsure		prefix to I-4 (two short strokes one above the other) => see O-2		185 [n194]
P-15	60	unsure	kāl-ā / gal-ā	leg sign D-1 with affix inflection (see P-1) => lineage (?) or "group of" (see F-2, I-11, N-7, A-1)	1238	185 [n194]
Q-1	220	sure	pir/pir-ir; hom: per	the twist L-3 affixed by P-11 (the drawing is the ICIT 'fish' shape) => great man, lord, etc., i.e. chief (see L-7, L-3, L-4)	3436; 3613	185 [n194]
Q-2	231	likely	pir-ā	Q-1 (the "fish" shape) with genitive affix P-1 inside => of the chief		186 [n195]
Q-3	233|231	unsure	piram(b)(u); hom: possibly twister DEDR 4177 twining	Q-1 with H-4 or P-12 (slanted stroke) => nominative case for chief? (an epigraphic question)	; 4177	186 [n195]
Q-4	233	unsure	acci-pir; hom: ajje	Q-1 with I-18b or I-18c, woof in warp => elders (chief); but also pirokka with K-15, i.e. breeder	45; 46	186 [n195]
Q-5	240	likely	maru-pir / mara(gh)pir; hom: mardu, maruru, marasu, masagu, marcu	Q-1 with horn affix (see A-4), the cattle horns => (a) shaman, priest, shamanistic elements [physician, madness, rage, be agitated]; (b) tamer of cattle, maru-pir	3864; 3865, 3866, 3866, 3835, 3865	186 [n195]
Q-6	235	likely	talpir	Q-1 with P-4 (caret over the "fish") => head or high chief		186 [n195]
Q-7	175|176	unsure	parC tal (?); hom: see E-5	E-5 combined with P-4 => cotton, as a crop; possibly ara-cloth		186 [n195]
Q-8	176|175	unsure	partalār	E-5 combined with P-4 and pluralizer P-6 => cotton, crops, cotton in general		186 [n195]
Q-9	367	likely	ambara / ampara / ambala	half of E-6 combined with H-4 => court, open area by a "temple" or "temple" grounds	145	187 [n196]
Q-10	798	likely	paṭu-kāṟ(u)	F-1 combined with I-11 => monsoon, southwest		187 [n196]
Q-11	415	likely	kiṟ-a	L-9 turned to horizontal with affix P-1 (comb on post) => of below, downriver, south	1348	187 [n196]
Q-12	416	likely	irukiṟ(ā)	Q-11 doubled stylistically => a proper name (?) Irukiṟā		187 [n196]
Q-13	97|144	unsure	aṅgaḍi(y)āḷ	a man between two posts, A-1 and G-6 => bazaar man, merchant		187 [n196]
Q-14	555|556	unsure	karumāṭa / mōḍe; hom: karamata, mōḍe (Tu.)	combination of I-11 and K-1 => united clans; great buffalo (?)	1082, 3811; 1088, 3933	187 [n196]
Q-15	702|703	unsure	ilaḷ / iraḷ	combination of J-1 and P-2 => a quantity, i.e. how many		187 [n196]
Q-16	703|702	unsure	munaḷ	combination of J-1 and O-3 => a proper name (?) Munaḷ; foremost in quantity or a quantity		188 [n197]
Q-17	742|745	unsure	aṇ-il	combination of J-5 and P-2 => high place; a proper name (?) Aṇil		188 [n197]
Q-18	742|746	unsure	aṇ-mū(n)	combination of J-5 and O-3 => high, foremost (a superlative); often confused with munamb-an ? foremost amb-an		188 [n197]
R-1		unsure	vara; hom: vara	doubled slanted lines (Chanhu-daro 13) => drought (not to be confused with two upright or slanted strokes; the angle differs)	4390; 4355	188 [n197]
